021335043;VENOLEN*CREMA 40G 2%;PHARMA LINE Srl;12,900;;8,320;;;11;;;;;;10;C05CA04
021481256;SOBREPIN*SCIR 200ML 40MG/5ML;PHARMAIDEA Srl;11,500;;5,850;;;17;;;;;;10;R05CB07
021481320;SOBREPIN GRANULATO*24BS 300MG;PHARMAIDEA Srl;13,500;;8,010;;;7;;;;;;10;R05CB07
021483146;SINECOD TOSSE SED*200ML3MG/10G;HALEON ITALY Srl;12,350;;7,320;;;60;;;;;;10;R05DB13
021528157;TAMARINE*MARMEL260G 80+3,9MG/G;HALEON ITALY Srl;20,550;;13,160;;;184;;;;;;10;A06AB06
021625064;VICKS VAPORUB*UNG INAL 50G;PROCTER & GAMBLE SRL;12,640;8001090004185;6,580;;;77;;;;;;10;R05X
021625076;VICKS VAPORUB*UNG INAL 100G;PROCTER & GAMBLE SRL;18,500;8001090001344;9,760;;;20;;;;;;10;R05X
021625088;VICKS VAPORUB*UNG INAL 35G;PROCTER & GAMBLE SRL;12,090;8700216480512;6,710;;;4;;;;;;10;R05X
021852013;COCARNITIN B12*OS 10FL 10ML;SIGMATAU IND.FARM.RIUNITE SpA;19,500;;11,900;;;40;;;;;;10;A16AA
021925045;PROCTOLYN*10SUPP 0,1MG+10MG;RECORDATI SpA;14,100;;7,270;;;98;;;;;;10;C05AA10
021925060;PROCTOLYN*CR RETT 30G;RECORDATI SpA;14,100;;6,270;;;1966;;;;;;10;C05AA10
021993050;RINOFLUIMUCIL*SPRAY NAS 10ML;ZAMBON ITALIA Srl;9,600;;4,370;;;76;;;;;;10;R01AB08
022088052;TANTUM VERDE*COLLUT 120ML0,15%;ANGELINI (A.C.R.A.F.) SpA;8,000;;4,200;;;258;;;;;;10;A01AD02
022088064;TANTUM VERDE*NEBUL 30ML 0,15%;ANGELINI (A.C.R.A.F.) SpA;12,500;;4,650;;;375;;;;;;10;A01AD02
022088076;TANTUM VERDE*COLLUT 240ML0,15%;ANGELINI (A.C.R.A.F.) SpA;11,900;;6,040;;;581;;;;;;10;A01AD02
022088088;TANTUM VERDE*NEBUL FL 15ML0,3%;ANGELINI (A.C.R.A.F.) SpA;12,500;;4,680;;;252;;;;;;10;A01AD02
022252062;ZYMAFLUOR*100CPR 0,50MG;MEDA PHARMA SpA;10,300;;4,140;;;2;;;;;;10;A01AA01
022760019;CANESTEN*CREMA 30G 1%;BAYER SpA;16,100;;9,450;;;176;;;;;;10;D01AC01
022760108;CANESTEN*POLV CUT 1FL 30G 1%;BAYER SpA;16,100;;9,870;;;5;;;;;;10;D01AC01
022760159;CANESTEN*SPRAY CUT 40ML 1%;BAYER SpA;18,450;;11,280;;;10;;;;;;10;D01AC01
022801017;FARINGOTRICINA*20CPR ORO 2,5MG;SIT LABORATORIO FARMAC. Srl;9,000;;4,790;;;1;;;;;;10;R02AB02
022816021;SOMATOLINE*EMULS 30BS 0,1+0,3%;L.MANETTI-H.ROBERTS & C. SpA;64,500;;38,860;;;12;;;;;;10;D11AX
022816072;SOMATOLINE*EMULS 15BS 0,1+0,3%;L.MANETTI-H.ROBERTS & C. SpA;37,000;;20,850;;;8;;;;;;10;D11AX
022895039;CORYFIN TOSSE DOPPIA AZ*200ML;SIT LABORATORIO FARMAC. Srl;10,900;;4,560;;;9;;;;;;10;R05FB02
022941064;EUCHESSINA CM*OS GTT 20ML;CHIESI FARMACEUTICI SpA;8,900;;4,890;;;19;;;;;;10;A06AB08
022941076;EUCHESSINA CM*18CPR MAST DIV;CHIESI FARMACEUTICI SpA;6,300;;3,650;;;42;;;;;;10;A06AB08
023177102;NAPROSYN*GEL 50G 10%;RECORDATI SpA;11,900;;5,150;;;47;;;;;;10;M02AA12
023185059;LISOMUCIL TOSSE MUC*AD SCIR 5%;EG SpA;12,900;;7,060;;;31;;;;;;10;R05CB03
023185061;LISOMUCIL TOSSE MUC*BB SCIR 2%;EG SpA;12,900;;7,310;;;5;;;;;;10;R05CB03
023185097;LISOMUCIL TOSSE MUC*AD SCIR SZ;EG SpA;12,900;;7,070;;;82;;;;;;10;R05CB03
023198029;VICKS SINEX ALOE*NEB 15ML0,05%;PROCTER & GAMBLE SRL;13,030;5011321844384;6,060;;;349;;;;;;10;R01AA05
