sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,status,visibility,price,special_price,special_from_date,special_to_date,tax_class_name,qty,is_in_stock,manufacturer,ean,supplier,url_key
003366150,default,Default,simple,54,base,Cebion 500 20cpr Mast Arancia,Cebion 500*20cpr Mast Arancia,Cebion 500*20cpr Mast Arancia,1,1,4,6.57,,,,Taxable Goods,0,0,237,003366150,2759,cebion-500-20cpr-mast-arancia-003366150
003366162,default,Default,simple,54,base,Cebion 10cpr Eff 1g Arancia,Cebion*10cpr Eff 1g Arancia,Cebion*10cpr Eff 1g Arancia,1,1,4,5.31,,,,Taxable Goods,0,0,237,003366162,2759,cebion-10cpr-eff-1g-arancia-003366162
003366174,default,Default,simple,54,base,Cebion 10cpr Eff 1g Limone,Cebion*10cpr Eff 1g Limone,Cebion*10cpr Eff 1g Limone,1,1,4,5.22,,,,Taxable Goods,0,0,237,003366174,2759,cebion-10cpr-eff-1g-limone-003366174
003366198,default,Default,simple,54,base,Cebion 500 20cpr Mast S/zucch,Cebion 500*20cpr Mast S/zucch,Cebion 500*20cpr Mast S/zucch,1,1,4,5.85,,,,Taxable Goods,0,0,237,003366198,2759,cebion-500-20cpr-mast-s-zucch-003366198
003366200,default,Default,simple,54,base,Cebion 10cpr Eff 1g S/zucchero,Cebion*10cpr Eff 1g S/zucchero,Cebion*10cpr Eff 1g S/zucchero,1,1,4,5.22,,,,Taxable Goods,0,0,237,003366200,2759,cebion-10cpr-eff-1g-s-zucchero-003366200
003452048,default,Default,simple,54,base,VALONTAN BAMBINI,"<h3>Denominazione</h3>  <p>VALONTAN BAMBINI</p>  <h3>Principi attivi</h3>  <p><b> <i>Compresse rivestite</i> </b>: <u>Ogni compressa rivestita contiene:</u> <i>Principio attivo</i> Dimenidrinato 25 mg <b> <i>Supposte</i> </b>: <u>Ogni supposta contiene</u>: <i>Principio attivo</i> Dimenidrinato 25 mg Per gli eccipienti : vedi 6.1</p>  <h3>Eccipienti</h3>  <p><b> <i>Compresse rivestite</i> </b>: Ogni compressa rivestita contiene: <i>Eccipienti:</i> Saccarosio 15,0 mg, polivinilpirrolidone 2,0 mg, silice precipitata 1,5 mg, magnesio stearato 1,5 mg, amido di mais 45,0 mg, idrossipropilmetilcellulosa 1,875 mg, polietilenglicole 400&nbsp;&nbsp; 0,1875 mg, titanio biossido 0,9375 mg. <b> <i>Supposte</i> </b>: Ogni supposta contiene: <i>Eccipienti:</i> Silice precipitata 10 mg, gliceridi semisintetici 1500 mg.</p>  <h3>Indicazioni terapeutiche</h3>  <p>Prevenzione e trattamento della nausea, del vomito e della vertigine, proprie delle naupatie (mal di mare, d'auto, di treno, d'aereo).</p>  <h3>Posologia</h3>  <p>Nei bambini di et&agrave; fra 2-6 anni : 1 compressa o 1 supposta di VALONTAN bambini fino ad un massimo di 3 volte al di, secondo le necessit&agrave;. Nei bambini in et&agrave; fra 7-12 anni: 1-2 compresse o supposte di VALONTAN bambini 2-3 volte al d&igrave;. Si consiglia l'assunzione circa 30 minuti prima di ottenere l'effetto desiderato. Non somministrare a bambini di et&agrave; inferiore ai 2 anni (vedi 4.3) Nono superare le dosi consigliate. Non usare per trattamenti prolungati.</p>  <h3>Controindicazioni</h3>  <p>Ipersensibilit&agrave; al principio attivo o ad uno qualsiasi degli eccipienti. Controindicato nei bambini di et&agrave; inferiore ai 2 anni. Generalmente controindicato durante la gravidanza e l'allattamento.</p>  <h3>Avvertenze e precauzioni</h3>  <p>L'uso degli antiistaminici contemporaneamente a certi antibiotici o altri farmaci ototossici pu&ograve; mascherare i primi segni di ototossicit&agrave;, la quale pu&ograve; rivelarsi solo quando il danno &egrave; irreversibile. Usare con cautela in soggetti affetti da glaucoma, ipertrofia prostatica, altre sindromi di ritenzione urinaria, ostruzione intestinale, ipertensione arteriosa, malattie cardiovascolari, asma bronchiale, bronchite cronica o enfisema, ipertiroidismo. Il medicinale pu&ograve; esacerbare disordini convulsivi. Va pertanto impiegato con molta cautela nei soggetti affetti da epilessia. Le compresse contengono saccarosio, non sono quindi adatte per i soggetti con intolleranza ereditaria al fruttosio, malassorbimento di glucosio-galattosio o deficit di saccarasi-isomaltasi.</p>  <h3>Interazioni</h3>  <p>Durante il trattamento, allo scopo di impedire fenomeni additivi di sedazione, si dovr&agrave; evitare che al bambino siano somministrati farmaci che agiscono sul Sistema Nervoso Centrale.</p>  <h3>Gravidanza e allattamento</h3>  <p>Se ne sconsiglia l'uso durante la gravidanza. Nelle pazienti che allattano occorre decidere se rinunciare a nutrire al seno il bambino e iniziare il trattamento o, viceversa, proseguire l'allattamento evitando la somministrazione del prodotto.</p>  <h3>Effetti sulla guida e sull'uso di macchinari</h3>  <p>Non pertinente.</p>  <h3>Effetti indesiderati</h3>  <p>Il pi&ugrave; frequente effetto secondario degli antiistaminici &egrave; la sedazione che pu&ograve; manifestarsi come sonnolenza. Con l'impiego degli antiistaminici possono verificarsi secchezza delle fauci, fotosensibilit&agrave;, disturbi dell'accomodazione, disturbi della minzione, cefalea, anoressia, nausea, reazioni cutanee su base allergica. Meno frequentemente vertigini, astenia, insonnia (specialmente nei bambini), euforia, tremori, ipotensione, tachicardia e, ad alte dosi, specie nei bambini, convulsioni.</p>  <h3>Sovradosaggio</h3>  <p>La sonnolenza &egrave; il sintomo pi&ugrave; usuale di iperdosaggio. Dosi tossiche possono produrre: convulsioni, coma e depressione respiratoria. Nel caso attuare una terapia sintomatica; quando necessario, assistenza respiratoria.</p>  <h3>Conservazione</h3>  <p>Nessuna.</p>",VALONTAN BAMBINI,1,1,4,6.21,,,,Taxable Goods,0,0,235,003452048,2759,valontan-bambini-003452048
003488057,default,Default,simple,54,base,Artane 50cpr 2mg,Artane*50cpr 2mg,Artane*50cpr 2mg,1,1,4,1.32,,,,Taxable Goods,1,1,5281,003488057,2759,artane-50cpr-2mg-003488057
003559059,default,Default,simple,54,base,Testovis im 2f 2ml 100mg,Testovis*im 2f 2ml 100mg,Testovis*im 2f 2ml 100mg,1,1,4,2.07,,,,Taxable Goods,0,0,222,003559059,2759,testovis-im-2f-2ml-100mg-003559059
003604030,default,Default,simple,54,base,Fermenturto ad Os Liof 6fl,Fermenturto*ad Os Liof 6fl,Fermenturto*ad Os Liof 6fl,1,1,4,10.80,,,,Taxable Goods,0,0,240,003604030,2759,fermenturto-ad-os-liof-6fl-003604030
003671070,default,Default,simple,54,base,"Diftetall ad Iniet 1fsir 0,5ml","Diftetall*ad Iniet 1fsir 0,5ml","Diftetall*ad Iniet 1fsir 0,5ml",1,1,4,6.01,,,,Taxable Goods,0,0,670,003671070,2759,diftetall-ad-iniet-1fsir-0-5ml-003671070
003710011,default,Default,simple,54,base,Ektogan polv Derm 20g,Ektogan*polv Derm 20g,Ektogan*polv Derm 20g,1,1,4,7.45,,,,Taxable Goods,0,0,5281,003710011,2759,ektogan-polv-derm-20g-003710011
003714021,default,Default,simple,54,base,Carbonesia 32cialdini,Carbonesia*32cialdini,Carbonesia*32cialdini,1,1,4,6.48,,,,Taxable Goods,0,0,241,003714021,2759,carbonesia-32cialdini-003714021
003763164,default,Default,simple,54,base,Gonasi Hp im 3fl 2000ui+3f 2ml,Gonasi Hp*im 3fl 2000ui+3f 2ml,Gonasi Hp*im 3fl 2000ui+3f 2ml,1,1,4,3.56,,,,Taxable Goods,0,0,516,003763164,2759,gonasi-hp-im-3fl-2000ui-3f-2ml-003763164
